Operating Temperature (°F),Ramp time (minutes),Empty or loaded for TUS,Tipo de Horno,Posicion del termopar de control con respecto a la carga u horno,Posicion del termopar de control con respecto al bafle,Tipo de aislamiento del carro o piso,Numero de zonas,Ubicacion de las zonas,Dimensiones internas  del horno. L= largo o profundo (Pulgadas),Dimensiones internas  del horno. W=Ancho (Pulgadas),Dimensiones internas  del horno. H=alto,Dimensiones Setting de carga. L= largo o profundo,Dimensiones Setting de carga. W=Ancho,Dimensiones Setting de carga. H=alto,Distancia del volumen de carga a Techo,Distancia de valumen de carga a paredes,Distancia de volumen de carga a piso (pulgadas),Cantidad de extracciones,Longitud de la flama del quemador,Cantidad de Quemadores,Tipo de  Controlador,Resolución de tarjeta de entrada de Termopares (bits),"Algoritmo de lectura de temperatura (Directo, promedio, ponderado, etc)","Tipo de calentamiento [Entrada Escalon, Rampa o Receta]",Trick. Low cut back tipo NB,Apagado de quemadores,"Tipo de Termopar de control  (con probeta, desnudo, tipo de funda; ceramica o metalica)","Tipo de control de presion [lazo abierto, lazo cerrado, damper lazo abierto]",Cambios de aire,Volumen del recirculador (CADA uno (SCFH) o SCFM,Que pueda arrancar el recirculador al 100% desde Frio,"Tipo de Recirculador (centrifugo, axial, con Scroll), tipo de scroll y tipo de aspas",Cantidad de recirculadores por zona,Velocidad de aire Real en Rejillas (m/s),"Patrón de flujo del aire (Horizontal, vertica down directo, vertcical down con bafle, vertical up, directo o vertical up con bafle)",Baffle para ajustar el retorno,Venas ladronas de aire para rejillas,Venas direccionadoras,Posicion de quemador,Con Rompe flamas,Tipo de tubo a la salida del quemador,Posicion de la toma del  Extractor,Regulador cross connected,Uso de Piers,Cantidad de extacciones de gases,Posicion de las extracciones de gases,Modo de control
2100,375,Empty,Fuego directo,"Pared Lateral, parte baja de la carga",NA,Refractario duro,4,Izquierda y derecha,196,145,106,181,125,80,26,10,0,4,36,8,HC900,15,Directo,Rampa ,NA,No,"Inconel 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Si,No,4,Atras abajo,Pulso electronico
1000,46.5,Loaded,Recirculacion,Pared lateral,Por dentro del bafle,Fibra,1,NA,171,62,62,132,48,31,13,7,18,0,28,6,Compact Logix,16,Directo,Escalon,NA,Si,"Inconel 3/4"" (tipo Bickley)",NA,73.61,14000,Si,Centrifugo,2,14,Vertical,Si,Si,Si,NA,Si,NA,NA,Si,NA,0,NA,Proporcional
1050,264,Empty with heat sinks,Fuego directo,Pared lateral,NA,Refractario duro,3,Verticales a lo largo,353,129,120,338,108,90,18,10.5,12,2,28,15,HC900,15,Promedio,Receta,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,No,No,No,NA,NA,NA,NA,NA,Si,0,Doble extraccion techo,Pulso electronico
1250,394,Empty with heat sinks,Fuego directo,Pared lateral,NA,Refractario duro,3,Verticales a lo largo,353,129,120,338,108,90,18,10.5,12,2,28,15,HC900,15,Promedio,Receta,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,No,No,No,NA,NA,NA,NA,NA,Si,0,Doble extraccion techo,Pulso electronico
1550,694,Empty with heat sinks,Fuego directo,Pared lateral,NA,Refractario duro,3,Verticales a lo largo,353,129,120,338,108,90,18,10.5,12,2,28,15,HC900,15,Promedio,Receta,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,No,No,No,NA,NA,NA,NA,NA,Si,0,Doble extraccion techo,Pulso electronico
1750,754,Empty with heat sinks,Fuego directo,Pared lateral,NA,Refractario duro,3,Verticales a lo largo,353,129,120,338,108,90,18,10.5,12,2,28,15,HC900,15,Promedio,Receta,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo cerrado,NA,0,NA,NA,0,0,NA,No,No,No,NA,NA,NA,NA,NA,Si,0,Doble extraccion techo,Pulso electronico
500,115,Empty heat up load test,Recirculacion,Pared lateral,NA,NA,2,NA,324,160,110,300,144,96,14,8,0,1,28,2,Siemens 1500,14,Directo,Escalon,No,Si,Funda inconel,Damper lazo abierto,43.64,144000,No,Plug fan con scroll hechizo,1,14,Vertical,No,No,No,Antes,No,NA,Trasera superior,NA,NA,0,Atras arriba,Proporcional
750,181,Empty heat up load test,Recirculacion,Pared lateral,NA,NA,2,NA,324,160,110,300,144,96,14,8,0,1,28,2,Siemens 1500,14,Directo,Escalon,No,Si,Funda inconel,Damper lazo abierto,43.64,144000,No,Plug fan con scroll hechizo,1,14,Vertical,No,No,No,Antes,No,NA,Trasera superior,NA,NA,0,Atras arriba,Proporcional
900,202,Empty heat up load test,Recirculacion,Pared lateral,NA,NA,2,NA,324,160,110,300,144,96,14,8,0,1,28,2,Siemens 1500,14,Directo,Escalon,No,Si,Funda inconel,Damper lazo abierto,43.64,144000,No,Plug fan con scroll hechizo,1,14,Vertical,No,No,No,Antes,No,NA,Trasera superior,NA,NA,0,Atras arriba,Proporcional
170,9.4,Loaded,Recirculacion,Pared lateral,Por dentro del bafle,Refractario duro,1,NA,196,64,92,180,56,78,5,4,9,1,54,1,Compact Logix,16,Directo,Escalon,No,No,"SS 316 de 1/4""",Lazo abierto,NA,40000,No,Centrifugo,1,10,Horizontal,Si,No,No,Antes,Si,Salida plana,Sin extractor,Si,No,1,Atras arriba,Fuel only
